ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price,Taste,Quality
970,himayath nagar,hyderabad,virat kitchen,300,2.9,80,north indian  chinese  tandoor  sweets  beverages,knowledge park,51,0.58,0.176470588,3.7,3.5
971,himayath nagar,hyderabad,sobremesa - cakes and desserts,300,4.3,20,"bakery,desserts",himayath nagar,45,0.86,0.176470588,4.2,3.8
972,himayath nagar,hyderabad,wallonia waffle co.,300,5,20,desserts,himayath nagar,45,1,0.176470588,4.8,4.1
973,himayath nagar,hyderabad,splurge - thickshakes and milkshakes,300,5,20,desserts  ice cream  beverages,himayath nagar,45,1,0.176470588,4.3,3.1
974,himayath nagar,hyderabad,the liege waffles,300,5,20,desserts  bakery,himayath nagar,45,1,0.176470588,3,3.8
975,vanasthalipuram,hyderabad,the manufactory shakes,200,2.9,80,beverages,vanasthalipuram,69,0.58,0.117647059,2.6,4
976,a.s. rao nagar & sainikpuri,hyderabad,balaji mohanlal mithai bhandar,200,2.9,80,sweets,a.s. rao nagar & sainikpuri,84,0.58,0.117647059,3.2,2.5
977,uppal,hyderabad,shamaa hotel,300,3.8,20,"indian,north indian,chinese,seafood,biryani,tandoor,ice cream",uppal,73,0.76,0.176470588,4,3.8
978,himayath nagar,hyderabad,gourmet gully,600,2.9,80,"continental,salads,pizzas,pastas,italian-american",himayath nagar,38,0.58,0.352941176,2.6,3.1
979,jillelaguda,hyderabad,chai amruth,110,2.9,80,beverages,vanasthalipuram,64,0.58,0.064705882,3.7,3.5
980,nallakunta & vidyanagar,hyderabad,tejus friends kitchen,200,2.9,80,indian  chinese,nallakunta & vidyanagar,42,0.58,0.117647059,4,4.6
981,himayath nagar,hyderabad,the dessert bakers,200,4.5,20,bakery  desserts  snacks,himayath nagar,35,0.9,0.117647059,3.3,3.3
982,kothapet & dilsukhnagar,hyderabad,rahmania chat corner,200,2.9,80,"indian,street food",kothapet & dilsukhnagar,49,0.58,0.117647059,4.4,3.7
983,santoshnagar & saidabad,hyderabad,pista house bakery,200,3.9,500,"italian,ice cream,beverages,fast food,continental",santoshnagar & saidabad,50,0.78,0.117647059,2.8,2.6
984,kothapet & dilsukhnagar,hyderabad,chitti in town robot restaurant,250,2.9,80,"indian,chinese,tandoor,seafood",kothapet & dilsukhnagar,61,0.58,0.147058824,2.7,3.3
985,kothapet & dilsukhnagar,hyderabad,fries.com,300,2.9,80,"chinese,bakery,beverages",kothapet & dilsukhnagar,68,0.58,0.176470588,4.3,4.1
986,kothapet & dilsukhnagar,hyderabad,a m shah haleem,500,2.9,80,indian,kothapet & dilsukhnagar,33,0.58,0.294117647,3.7,3.3
