ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price
801,kothapet & dilsukhnagar,hyderabad,urban monk fine baking,600.0,2.9,80,fast food,kothapet & dilsukhnagar,73,0.58,0.35294117647058826
802,himayath nagar,hyderabad,haldirams sweets and namkeen,300.0,4.3,20,"sweets,snacks",ground floor moti mahal market,31,0.86,0.17647058823529413
803,somajiguda & khairtabad,hyderabad,kushi tiffin center,100.0,2.9,80,south indian,somajiguda & khairtabad,48,0.58,0.058823529411764705
804,banjara hills,hyderabad,oh! punjab,300.0,4.3,50,"punjabi,north indian,chinese",banjara hills,75,0.86,0.17647058823529413
805,nampally,hyderabad,halal guys,300.0,2.9,80,"fast food,beverages,ice cream",nampally,48,0.58,0.17647058823529413
806,nallakunta & vidyanagar,hyderabad,pizza and burgers,300.0,3.3,20,"fast food,pizzas,beverages",nallakunta & vidyanagar,43,0.6599999999999999,0.17647058823529413
807,vidyanagar,hyderabad,box8 - desi meals,250.0,3.7,50,"north indian,biryani,combo,snacks",ashok nagar,38,0.74,0.14705882352941177
808,vidyanagar,hyderabad,itminaan biryani - dum pukht,250.0,2.9,80,"north indian,biryani,combo,snacks",ashok nagar,39,0.58,0.14705882352941177
809,kothapet & dilsukhnagar,hyderabad,new sai kailash dhaba,250.0,4.2,100,"chinese,biryani,combo",kothapet & dilsukhnagar,54,0.8400000000000001,0.14705882352941177
810,kothapet & dilsukhnagar,hyderabad,agra sandwich pasta  momos corner,300.0,2.9,80,"italian,snacks",kothapet & dilsukhnagar,36,0.58,0.17647058823529413
811,himayath nagar,hyderabad,deccan chef,150.0,2.9,80,indian,himayath nagar,34,0.58,0.08823529411764706
812,charminar,hyderabad,swagath hotel,400.0,4.3,100,"south indian,chinese,indian",charminar,44,0.86,0.23529411764705882
813,tolichowki hps kids school opposite,hyderabad,healthy food house,100.0,2.9,80,indian  fast food  beverages,tolichowki,83,0.58,0.058823529411764705
814,nallakunta & vidyanagar,hyderabad,lassi n cafe,200.0,2.9,80,"beverages,fast food",nallakunta & vidyanagar,40,0.58,0.11764705882352941
815,himayath nagar,hyderabad,break the bread-sandwiches and burgers,200.0,3.6,20,healthy food,himayath nagar,35,0.72,0.11764705882352941
816,himayath nagar,hyderabad,rice++,200.0,2.9,80,healthy food,himayath nagar,36,0.58,0.11764705882352941
817,tarnaka nacharam & malkajigiri,hyderabad,kritunga restaurant,500.0,3.7,500,"biryani,rayalaseema,andhra,south indian",tarnaka nacharam & malkajigiri,59,0.74,0.29411764705882354
818,kothapet & dilsukhnagar,hyderabad,fipola grill house,400.0,2.9,80,"seafood,snacks,grill",kothapet & dilsukhnagar,65,0.58,0.23529411764705882
